No    | English        | Vietnamese     
1711  | mad            | điên, mất trí; bực điên người
1712  | magazine       | tạp chí        
1713  | magic          | ma thuật, ảo thuật; (thuộc) ma thuật, ảo thuật
1714  | mail           | thư tư, bưu kiện; gửi qua bưu điệ
1715  | main           | chính, chủ yếu, trọng yếu nhất
1716  | mainly         | chính, chủ yếu, phần lớn
1717  | maintain       | giữ gìn, duy trì, bảo vệ
1718  | major          | lớn, nhiều hơn, trọng đại, chủ yếu
1719  | majority       | phần lớn, đa số, ưu thế
1720  | make           | làm, chế tạo; sự chế tạo. make st up: làm thành, cấu thành, gộp thành
1721  | male           | trai, trống, đực; con trai, đàn ông, con trống, đực
1722  | mall           | búa            
1723  | man            | con người; đàn ông
1724  | manage         | quản lý, trông nom, điều khiển
1725  | management     | sựquảnlý,sựtrôngnom,sự điều khiển
1726  | manager        | người quản lý, giám đốc
1727  | manner         | cách, lối, kiểu; dáng, vẻ, thái độ
1728  | manufacture    | sản xuất, chế tạo
1729  | manufacturer   | người chế tạo, người sản xuất
1730  | manufacturing  | sự sản xuất, sự chế tạo
1731  | many           | nhiều          
1732  | map            | bản đồ         
1733  | march          | tháng ba       
1734  | mark           | dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
1735  | market         | chợ, thị trường
1736  | marketing      | ma             
1737  | marriage       | sự cưới xin, sự kết hôn, lễ cưới
1738  | married        | cưới, kết hôn  
1739  | marry          | cưới (vợ), lấy (chồng)
1740  | mass           | khối, khối lượng; quần chúng, đại chúng
1741  | massive        | to lớn, đồ sộ  
1742  | master         | chủ, chủ nhân, thầy giáo, thạc sĩ
1743  | match          | trận thi đấu, đối thủ, địch thủ; đối chọi, sánh được
1744  | matching       | tính địch thù, thi đấu
1745  | mate           | bạn, bạn bè    
1746  | material       | nguyênvậtliệu;vậtchất, hữuhình
1747  | mathematics    | toán học, môn toán
1748  | matter         | chất, vật chất; có ý nghĩa, có tính chất quan trọng
1749  | maximum        | cực độ, tối đa; trị số cực đại, lượng cực đại, cực độ
1750  | may            | có thể, có lẽ  
1751  | maybe          | có thể, có lẽ  
1752  | mayor          | thị trưởng     
1753  | me             | tôi, tao, tớ   
1754  | meal           | bữa ăn         
1755  | mean           | nghĩa,cónghĩalà
1756  | meaning        | ý, ý nghĩa     
1757  | means          | của cải, tài sản, phương tiện. by means: of bằng phương tiện
1758  | meanwhile      | trong lúc đó, trong lúc ấy
1759  | measure        | đo, đo lường; sự đo lường,đơnvịđolường
1760  | measurement    | sự đo lường, phép đo
1761  | meat           | thịt           
1762  | media          | phương tiện truyền thông đại chúng
1763  | medical        | (thuộc) y học  
1764  | medicine       | y học, y khoa; thuốc
1765  | medium         | trung bình, trung, vưa; sự trung gian, sự môi giới
1766  | meet           | gặp, gặp gỡ    
1767  | meeting        | cuộc mít tinh, cuộc biểu tình
1768  | melt           | tan ra, chảy ra; làm tan chảy ra
1769  | member         | thành viên, hội viên
1770  | membership     | tư cách hội viên, địa vị hội viên
1771  | memory         | bộ nhớ, trí nhớ, kỉ niệm. in memory of: sự tưởng nhớ
1772  | mental         | (thuộc) trí tuệ, trí óc; mất trí
1773  | mentally       | về mặt tinh thần
1774  | mention        | kể ra, nói đến, đề cập
1775  | menu           | thực đơn       
1776  | mere           | chỉ là         
1777  | merely         | chỉ, đơn thuần 
1778  | mess           | tình trạng bưa bộn, tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
1779  | message        | tin nhắn, thư tín, điện thông báo, thông điệp
1780  | metal          | kim loại       
1781  | method         | phương pháp, cách thức
1782  | metre          | mét            
1783  | mid            | null           
1784  | midday         | trưa, buổi trưa
1785  | middle         | giữa, ở giữa   
1786  | midnight       | nửa đêm, 12h đêm
1787  | might          | qk. may có thể, có lẽ
1788  | mild           | nhẹ, êm dịu, ôn hòa
1789  | mile           | dặm (đo lường) 
1790  | military       | (thuộc) quân đội, quân sự
1791  | milk           | sữa            
1792  | mind           | tâmtrí,tinhthần,trítuệ; chúý,đểý,chămsóc,quantâm
1793  | mine           | của tôi        
1794  | mineral        | công nhân, thợ mỏ; khoáng
1795  | minimum        | tối thiểu; số lượng tối thiểu, mức tối thiểu
1796  | minister       | bộ trưởng      
1797  | ministry       | bộ             
1798  | minor          | nhỏ hơn, thứ yếu, không quan trọng
1799  | minority       | phần ít, thiểu số
1800  | minute         | phút           
1801  | mirror         | gương          
1802  | miss           | lỡ, trượt; sự trượt, sự thiếu vắng
1803  | missing        | vắng, thiếu, thất lạc
1804  | mistake        | lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
1805  | mistaken       | sai lầm, hiểu lầm
1806  | mix            | pha, trộn lẫn; sự pha trộn
1807  | mixed          | lẫn lộn, pha trộn
1808  | mixture        | sự pha trộn, sự hỗn hợp
1809  | mobile         | chuyển động, di động
1810  | mobilephone    | điện thoại đi động
1811  | model          | mẫu, kiểu mẫu  
1812  | modern         | hiện đại, tân tiến
1813  | moment         | chốc, lát      
1814  | monday         | thứ 2          
1815  | money          | tiền           
1816  | monitor        | lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
1817  | month          | tháng          
1818  | mood           | lối, thức, điệu, tâm trạng, tính khí
1819  | moon           | mặt trăng      
1820  | moral          | (thuộc) đạo đức, luân lý, phẩm hạnh; có đạo đức
1821  | morally        | có đạo đức     
1822  | more           | hơn, nhiều hơn 
1823  | moreover       | hơn nữa, ngoàira,vảlại
1824  | morning        | buổi sáng      
1825  | most           | lớnnhất,nhiềunhất; nhất,hơncả
1826  | mostly         | hầu hết, chủ yếu là
1827  | mother         | mẹ             
1828  | motion         | sự chuyển động, sụ di động
1829  | motor          | động cơ mô tô  
1830  | motorcycle     | xe mô tô       
1831  | mount          | leo, trèo; núi 
1832  | mountain       | núi            
1833  | mouse          | chuột          
1834  | mouth          | miệng          
1835  | move           | di chuyển, chuyển động; sự di chuyển, sự chuyển động
1836  | movement       | sự chuyển động, sự hoạt động; c động, động tác
1837  | movie          | phim xi nê     
1838  | moving         | động, hoạt động
1839  | mr             | ông, ngài      
1840  | mrs            | cô             
1841  | ms             | bà, cô         
1842  | much           | nhiều, lắm     
1843  | mud            | bùn            
1844  | multiply       | nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
1845  | mum            | mẹ             
1846  | murder         | tội giết người, tội ám sát; giết người, ám sát
1847  | muscle         | cơ, bắp thịt   
1848  | museum         | bảo tàng       
1849  | music          | nhạc, âm nhạc  
1850  | musical        | (thuộc) nhạc, âm nhạc; du dương êm ái
1851  | musician       | nhạc sĩ        
1852  | must           | phải, cần, nên làm
1853  | my             | của tôi        
1854  | myself         | tự tôi, chính tôi
1855  | mysterious     | thần bí, huyền bí, khó hiểu
1856  | mystery        | điều huyền bí, điều thần bí
1857  | nail           | móng (tay, chân) móng vuốt
1858  | naked          | trần, khỏa thân, trơ trụi
1859  | name           | tên; đặt tên, gọi tên
1860  | narrow         | hẹp, chật hẹp  
1861  | nation         | dân tộc, quốc gia
1862  | national       | (thuộc) quốc gia, dân tộc
1863  | natural        | (thuộc) tự nhiên, thiên nhiên
1864  | naturally      | vốn, tự nhiên, đương nhiên
1865  | nature         | tự nhiên, thiên nhiên
1866  | navy           | hải quân       
1867  | near           | gần, cận; ở gần
1868  | nearby         | gần            
1869  | nearly         | gần, sắp, suýt 
1870  | neat           | sạch, ngăn nắp; rành mạch
1871  | neatly         | gọn gàng, ngăn nắp
1872  | necessarily    | tất yếu, nhất thiết
1873  | necessary      | cần,cầnthiết,thiếtyếu
1874  | neck           | cổ             
1875  | need           | cần, đòi hỏi; sự cần
1876  | needle         | cái kim, mũi nhọn
1877  | negative       | phủ định       
1878  | neighbour      | hàng xóm       
1879  | neighbourhood  | hàng xóm, làng giềng
1880  | neither        | không này mà cũng không kia
1881  | nephew         | cháu trai (con anh, chị, em)
1882  | nerve          | khí lực, thần kinh, can đảm
1883  | nervous        | hoảng sợ, dễ bị kích thích, hay lo lắng
1884  | nervously      | bồn chồn, lo lắng
1885  | nest           | tổ, ổ; làm tổ  
1886  | net            | lưới, mạng     
1887  | network        | mạng lưới, hệ thống
1888  | never          | khôngbaogiờ,khôngkhinào
1889  | nevertheless   | tuynhiên,tuy thếmà
1890  | new            | mới, mới mẻ, mới lạ
1891  | newly          | mới            
1892  | news           | tin, tin tức   
1893  | newspaper      | báo            
1894  | next           | sát, gần, bên cạnh; lần sau, tiếp nữa. next to: gần
1895  | nice           | đẹp, thú vị, dễ chịu
1896  | nicely         | thú vị, dễ chịu
1897  | niece          | cháu gái       
1898  | night          | đêm, tối       
1899  | no             | không          
1900  | nobody         | khôngai,không người nào
1901  | noise          | tiếng ồn, sự huyên náo
1902  | noisily        | ồn ào, huyên náo
1903  | noisy          | ồn ào, huyên náo
1904  | non            | null           
1905  | none           | không ai, không người, vật gì
1906  | nonsense       | lời nói vô lý, vô nghĩa
1907  | nor            | cũng không     
1908  | normal         | thường, bình thường; tình trạng bình thường
1909  | normally       | thông thường, như thường lệ
1910  | north          | phía bắc, phương bắc
1911  | northern       | bắc            
1912  | nose           | mũi            
1913  | not            | không          
1914  | note           | lời ghi, lời ghi chép; ghi chú, ghi chép
1915  | nothing        | không gì, không cái gì
1916  | notice         | thông báo, yết thị; chú ý, để ý, nhận biết. take notice of chú ý
1917  | noticeable     | đáng chú ý, đáng để ý
1918  | novel          | tiểu thuyết, truyện
1919  | november       | tháng 11       
1920  | now            | bây giờ, hiện giờ, hiện nay
1921  | nowhere        | không nơi nào, không ở đâu
1922  | nuclear        | (thuộc) hạt nhân
1923  | number         | số             
1924  | nurse          | y tá           
1925  | nut            | quảhạch;đầu    
1926  | obey           | vâng lời, tuân theo, tuân lệnh
1927  | object         | vật, vật thể, đối tượng; phản đối,chống lại
1928  | objective      | mục tiêu, mục đích; (thuộc) mục tiêu, khách quan
1929  | observation    | sự quan sát, sự theo dõi
1930  | observe        | quan sát, theo dõi
1931  | obtain         | đạt được, giành được
1932  | obvious        | rõ ràng, rành mạch, hiển nhiên
1933  | obviously      | một cách rõ ràng, có thể thấy được
1934  | occasion       | dịp, cơ hội    
1935  | occasionally   | thỉnh thoảng, đôi khi
1936  | occupied       | đang sử dụng, đầy (người)
1937  | occupy         | giữ, chiếm lĩnh, chiếm giữ
1938  | occur          | xảy ra, xảy đến, xuất hiện
1939  | ocean          | đại dương      
1940  | october        | tháng 10       
1941  | odd            | kỳ quặc, kỳ cục, lẻ (số)
1942  | oddly          | kỳ quặc, kỳ cục, lẻ (số)
1943  | of             | của            
1944  | off            | tắt; khỏi, cách, rời
1945  | offence        | sự vi phạm, sự phạm tội
1946  | offend         | xúcphạm,làmbựcmình,làmkhóchịu
1947  | offensive      | sự tấn công, cuộc tấn công, sỉ nhục
1948  | offer          | biếu,tặng, cho;sựtrảgiá
1949  | office         | cơ quấn, văn phòng, bộ
1950  | officer        | viên chức, cảnh sát, sĩ quấn
1951  | official       | (thuộc) chính quyền, văn phòng; viên chức, công chức
1952  | officially     | một cách trịnh trọng, một cách chính thức
1953  | often          | thường, hay, luôn
1954  | oh             | chao, ôi chao, chà, này..
1955  | oil            | dầu            
1956  | ok             | đồng ý, tán thành
1957  | old            | già            
1958  | on             | trên, ở trên; tiếp tục, tiếp diễn
1959  | once           | một lần; khi mà, ngay khi, một khi
1960  | onion          | củ hành        
1961  | only           | chỉ có 1, duy nhất; chỉ, mới
1962  | onto           | về phía trên, lên trên
1963  | open           | mở, ngỏ; mở, bắt đầu, khai mạc
1964  | opening        | khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
1965  | openly         | công khai, thẳng thắn
1966  | operate        | hoạt động, điều khiển
1967  | operation      | sựhoạt động,quátrìnhhoạtđộng
1968  | opinion        | ý kiến, quan điểm
1969  | opponent       | địch thủ, đối thủ, kẻ thù
1970  | opportunity    | cơ hội, thời cơ
1971  | oppose         | đốikháng,đối chọi, đối lập;chốngđối,phảnđối
1972  | opposing       | tính đối kháng, đối chọi
1973  | opposite       | đốinhau,ngượcnhau;trướcmặt,đối diện; điềutráingược
1974  | opposition     | sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối lập
1975  | option         | sự lựa chọn    
1976  | orange         | quả cam; có màu da cam
1977  | order          | thứ, bậc; ra lệnh. in order to hợp lệ
1978  | ordinary       | thường, thông thường
1979  | organ          | đàn óoc gan    
1980  | organization   | tổ chức, cơ quan; sự tổ chức
1981  | organize       | tổ chức, thiết lập
1982  | organized      | có trật tự, ngăn nắp, được sắp xếp, được tổ chức
1983  | origin         | gốc, nguồn gốc, căn nguyên
1984  | original       | (thuộc) gốc, nguồn gốc, căn nguyên; nguyên bản
1985  | originally     | một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên
1986  | other          | khác           
1987  | otherwise      | khác, cách khác; nếu không thì...; mặt khác
1988  | our            | củachúngta,thuộcchúngta,củachúngtôi,củachúngmình
1989  | ours           | củachúngta,thuộcchúngta,củachúngtôi,củachúngmình
1990  | ourselves      | bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình
1991  | out            | ngoài, ở ngoài, ra ngoài
1992  | outdoor        | ngoài trời, ở ngoài
1993  | outdoors       | ở ngoài trời, ở ngoài nhà
1994  | outer          | ở phía ngoài, ở xa hơn
1995  | outline        | vẽ, phác tảo; đường nét, hình dáng, nét ngoài
1996  | output         | sự sảnxuất;sảnphẩm,sảnlượng
1997  | outside        | bề ngoài, bên ngoài; ở ngoài; ngoài
1998  | outstanding    | nổi bật, đáng chú ý; còn tồn lại
1999  | oven           | lò (nướng)     
2000  | over           | bên trên, vượt qua; lên, lên trên
2001  | overall        | toàn bộ, toàn thể; tất cả, bao gồm
2002  | overcome       | thắng, chiến thắng, khắc phục, đánh bại (khó khăn)
2003  | owe            | nợ, hàm ơn; có được (cái gì)
2004  | own            | của chính mình, tự mình; nhận, nhìn nhận
2005  | owner          | người chủ, chủ nhân
2006  | pace           | bước chân, bước
2007  | pack           | gói, bọc; bó, gói
2008  | package        | gói đồ, bưu kiện; đóng gói, đóng kiện
2009  | packaging      | bao bì         
2010  | packet         | gói nhỏ        
2011  | page           | trang (sách)   
2012  | pain           | sự đau đớn, sự đau khổ
2013  | painful        | đau đớn, đau khổ
2014  | paint          | sơn,vôi màu;sơn,quétsơn
2015  | painter        | họa sĩ         
2016  | painting       | sự sơn; bức họa, bức tranh
2017  | pair           | đôi, cặp       
2018  | palace         | cung điện, lâu đài
2019  | pale           | taí, nhợt      
2020  | pan            | xoong, chảo    
2021  | panel          | ván ô (cửa, tường), pa nô
2022  | pants          | quần lót, quần đùi dài
2023  | paper          | giấy           
2024  | parallel       | song song, tương đương
2025  | parent         | cha, mẹ        
2026  | park           | công viên, vườn hoa; khoanh vùng thành công viên
2027  | parliament     | nghi viện, quốc hội
2028  | part           | phần, bộ phận  
2029  | particular     | riêng biệt, cá biệt
2030  | particularly   | một cách đặc biệt, cá biệt, riêng biệt
2031  | partly         | đếnchừngmựcnàođó,phầnnàođó
2032  | partner        | đối tác, cộng sự
2033  | partnership    | sự chung phần, sự cộng tác
2034  | party          | tiệc, buổi liên hoan; đảng
2035  | pass           | qua,vượtqua,ngangqua
2036  | passage        | sự đi qua, sự trôi qua; hành lang
2037  | passenger      | hành khách     
2038  | passing        | sự điqua,sựtrôi qua;thoángquangắnngủi
2039  | passport       | hộ chiếu       
2040  | past           | quá khứ, dĩ vãng; quá, qua
2041  | path           | đường mòn; hướng đi
2042  | patience       | tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
2043  | patient        | bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
2044  | pattern        | mẫu, khuôn mẫu 
2045  | pause          | tạm nghỉ, dưng; sự tạm nghỉ, sự tạm ngưng
2046  | pay            | trả, thanh toán, nộp; tiền lương
2047  | payment        | sự trả tiền, số tiền trả, tiền bồi thường
2048  | peace          | hòa bình, sự hòa thuận
2049  | peaceful       | hòa bình, thái bình, yên tĩnh
2050  | peak           | lưỡi trai; đỉnh, chóp
2051  | pen            | bút            
2052  | pence          | đồng xu        
2053  | pencil         | bút chì        
2054  | penny          | đồng xu        
2055  | pension        | tiền trợ cấp, lương hưu
2056  | people         | dân tộc, dòng giống; người
2057  | pepper         | hạt tiêu, cây ớt
2058  | per            | cho mỗi        
2059  | percent        | phần trăm      
2060  | perfect        | hoàn hảo       
2061  | perfectly      | một cách hoàn hảo
2062  | perform        | biểu diễn; làm, thực hiện
2063  | performance    | sựlàm,sựthực hiện,sựthihành,sự biểudiễn
2064  | performer      | người biểu diễn, người trình diễn
2065  | perhaps        | có thể, có lẽ  
2066  | period         | kỳ, thời kỳ, thời gian; thời đại
2067  | permanent      | lâudài,vĩnhcửu,thườngxuyên
2068  | permanently    | cách thường xuyên, vĩnh cửu
2069  | permission     | sự cho phép, giấy phép
2070  | permit         | chophép,chocơhội
2071  | person         | con người, người
2072  | personal       | cá nhân, tư, riêng tư
2073  | personality    | nhâncách,tínhcách;nhânphẩm,cátính
2074  | personally     | đích thân, bản thân, về phần tôi, đối với tôi
2075  | persuade       | thuyếtphục     
2076  | pet            | cơn nóng giận; vật cưng, người được yêu thích
2077  | petrol         | xăng dầu       
2078  | phase          | tuần trăng; giai đoạn, thời kỳ
2079  | philosophy     | triết học, triết lý
2080  | photocopy      | bản sao chụp; sao chụp
2081  | photograph     | ảnh, bức ảnh; chụp ảnh
2082  | photographer   | thợ chụp ảnh, nhà nhiếp ảnh
2083  | photography    | thuật chụp ảnh, nghề nhiếp ảnh
2084  | phrase         | câu; thành ngữ, cụm tư
2085  | physical       | vật chất; (thuộc) cơ thể, thân thể
2086  | physically     | về thân thể, theo luật tự nhiên
2087  | physics        | vật lý học     
2088  | piano          | đàn pianô, dương cầm
2089  | pick           | cuốc(đất);đào,khoét(lỗ).pick stupcuốc, vỡ,xé
2090  | picture        | bức vẽ, bức họa
2091  | piece          | mảnh, mẩu; đồng tiền
2092  | pig            | con lợn        
2093  | pile           | cọc, chồng, đống, pin; đóng cọc, chất chồng
2094  | pill           | viên thuốc     
2095  | pilot          | phi công       
2096  | pin            | đinh ghim; ghim., kẹp
2097  | pink           | màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
2098  | pint           | panh(đơnvị(đo lường) ởanhbằng0, 58lít;ởmỹ bằng0, 473lít);panh, lít (bia, sữa) a pint of beer + một panh bia
2099  | pipe           | ống dẫn (khí, nước...)
2100  | pitch          | sân (chơi các môn thể thao); đầu hắc ín
2101  | pity           | lòng thương hại, điều đáng tiếc, đáng thương
2102  | place          | nơi, địa điểm; quảng trường. take place: xảy ra, được cử hành, được tổ chức
2103  | plain          | ngay thẳng, đơn giản, chất phác
2104  | plan           | bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
2105  | plane          | mặt phẳng, mặt bằng, máy bay
2106  | planet         | hành tinh      
2107  | planning       | sự lập kế hoạch, sự quy hoạch
2108  | plant          | thực vật, sự mọc lên; trồng, gieo
2109  | plastic        | chất dẻo, làm bằng chất dẻo
2110  | plate          | bản, tấm kim loại
2111  | platform       | nền, bục, bệ; thềm, sân ga
2112  | play           | chơi, đánh; sự vui chơi, trò chơi, trận đấu
2113  | player         | người chơi 1 trò chơi nào đó (nhạc cụ)
2114  | pleasant       | vui vẻ, dễ thương; dịu dàng, thân mật
2115  | pleasantly     | vui vẻ, dễ thương; thân mật
2116  | please         | làmvuilòng,vưalòng, mong...vuilòng,xinmời
2117  | pleased        | hài lòng       
2118  | pleasing       | mang lại niềm vui thích; dễ chịu
2119  | pleasure       | niềmvui thích,điềuthích thú,điềuthúvị;ýmuốn,ýthích
2120  | plenty         | nhiều (s.k.lượng); chỉ sự thưa; sự sung túc, sự p.phú
2121  | plot           | mảnh đất nhỏ, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
2122  | plug           | nút (thùng, chậu, bồ(n)..), cái phíc cắm
2123  | plus           | cộng với (số, người...); dấu cộng; cộng, thêm vào
2124  | pm             | quá trưa, chiều, tối
2125  | pocket         | túi (quần áo, trong xe hơi), túi tiền
2126  | poem           | bài thơ        
2127  | poetry         | thi ca; chất thơ
2128  | point          | mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)
2129  | pointed        | nhọn, có đầu nhọn
2130  | poison         | chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
2131  | poisonous      | độc, có chất độc, gây chết, bệnh
2132  | pole           | người ba lan; cực (nam châm, trái đat...)
2133  | police         | cảnh sát, công an
2134  | policy         | chính sách     
2135  | polish         | nước bóng, nước láng; đánh bóng, làm cho láng
2136  | polite         | lễ phép, lịch sự
2137  | politely       | lễ phép, lịch sự
2138  | political      | về chính trị, về chính phủ, có tính chính trị
2139  | politically    | vềmặtchínhtrị;khônngoan, thận trọng;sảoquyệt
2140  | politician     | nhà chính trị, chính khách
2141  | politics       | họat động chính trị, đời sống chính trị, quan điểm chính trị
2142  | pollution      | sự ô nhiễm     
2143  | pool           | vũng nước; bể bơi, hồ bơi
2144  | poor           | nghèo          
2145  | pop            | tiếp bốp, phong cách dân gian hiện đại; nổ bốp
2146  | popular        | cótínhđạichúng,(thuộc)nhândân;đượcnhiềungười ưachuộng
2147  | population     | dân cư, dân số; mật độ dân số
2148  | port           | cảng           
2149  | pose           | đưa ra, đề ra, đặt; sự đặt, đề ra
2150  | position       | vị trí, chỗ    
2151  | positive       | khẳngđịnh, xácthực,rõràng,tíchcực,lạcquan
2152  | possess        | có, chiếm hữu  
2153  | possession     | quyền sở hữu, vật sở hữu
2154  | possibility    | khả năng, triển vọng
2155  | possible       | có thể, có thể thực hiện
2156  | possibly       | có lẽ, có thể, có thể chấp nhận được
2157  | post           | thư, bưu kiện; gửi thư
2158  | pot            | can, bình, lọ...
2159  | potato         | khoai tây      
2160  | potential      | tiềm năng; khả năng, tiềm lực
2161  | potentially    | tiềm năng, tiềm ẩn
2162  | pound          | pao            
2163  | pour           | rót, đổ, giội  
2164  | powder         | bột, bụi       
2165  | power          | khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
2166  | powerful       | hùng mạnh, hùng cường
2167  | practical      | thực hành; thực tế
2168  | practically    | về mặt thực hành; thực tế
2169  | practice       | thực hành, thực tiễn
2170  | practise       | thực hành, tập luyện
2171  | praise         | sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
2172  | prayer         | sự cầu nguyện  
2173  | precise        | rõràng,chínhxác; tỉmỉ, kỹtính
2174  | precisely      | đúng, chính xác, cần thận
2175  | predict        | báo trước, tiên đoán, dự báo
2176  | prefer         | thích hơn      
2177  | preference     | sự thích hơn, sự ưa hơn; cái đượ ưa thích hơn
2178  | pregnant       | mang thai; giàu trí tưởng tượng, sáng tạo
2179  | premises       | biệt thự       
2180  | preparation    | sự sửa soạn, sự chuẩn bị
2181  | prepare        | sửa soạn, chuẩn bị
2182  | prepared       | đã được chuẩn bị
2183  | presence       | sự hiện diện, sự có mặt; người, vât hiện diện
2184  | present        | có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
2185  | presentation   | bài thuyết trình, sự trình diện, sự giới thiệu
2186  | preserve       | bảo quản, giữ gìn
2187  | president      | hiệu trưởng, chủ tịnh, tổng thống
2188  | press          | sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
2189  | pressure       | sức ép, áp lực, áp suất
2190  | presumably     | có thể được, có lẽ
2191  | pretend        | giả vờ, giả bộ, làm ra vẻ
2192  | pretty         | khá, vưaphải;xinh,xinhxắn;,đẹp
2193  | prevent        | ngăn cản, ngăn chặn, ngăn ngưa
2194  | previous       | vội vàng, hấp tấp; trước (vd. ngày hôm trước), ưu tiên
2195  | previously     | trước, trước đây
2196  | price          | giá            
2197  | pride          | sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
2198  | priest         | linh mục, thầy tu
2199  | primarily      | trước hết, đầu tiên
2200  | primary        | nguyênthủy,đầutiên;thờicổ đại,nguyênsinh;sơ cấp, tiểuhọc
2201  | prince         | hoàn tử        
2202  | princess       | công chúa      
2203  | principle      | cơ bản, chủ yếu; nguyên lý, nguyên tắc
2204  | print          | in, xuất bản; sự in ra
2205  | printer        | máy in, thợ in 
2206  | printing       | sự in, thuật in, kỹ sảo in
2207  | prior          | trước, ưu tiên 
2208  | priority       | sự ưu tế, quyền ưu tiên
2209  | prison         | nhà tù         
2210  | prisoner       | tù nhân        
2211  | private        | cá nhân, riêng 
2212  | privately      | riêng tư, cá nhân
2213  | prize          | giải, giải thưởng
2214  | probable       | có thể, có khả năng
2215  | probably       | hầu như chắc chắn
2216  | problem        | vấn đề, điều khó giải quyết
2217  | procedure      | thủ tục        
2218  | proceed        | tiến lên, theo duổi, tiếp diễn
2219  | process        | quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
2220  | produce        | sản xuất, chế tạo
2221  | producer       | nhà sản xuất   
2222  | product        | sản phẩm       
2223  | production     | sự sản xuất, chế tạo
2224  | profession     | nghề, nghề nghiệp
2225  | professional   | (thuộc) nghề, nghề nghiệp; chuyên nghiệp
2226  | professor      | giáo sư, giảng viên
2227  | profit         | thuận lợi, lợi ích, lợi nhuận
2228  | program        | chươngtrình;lên chươngtrình
2229  | programme      | chương trình   
2230  | progress       | sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
2231  | project        | đề án, dự án, kế hoạch; dự kiến, kế hoạch
2232  | promise        | hứa, lời hứa   
2233  | promote        | thăng chức, thăng cấp
2234  | promotion      | sự thăng chức, sự thăng cấp
2235  | prompt         | mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
2236  | promptly       | mau lẹ, ngay lập tức
2237  | pronounce      | tuyên bố, thông báo, phát âm
2238  | pronunciation  | sự phát âm     
2239  | proof          | chứng,chứngcớ,bằngchứng;sự kiểmchứng
2240  | proper         | đúng, thích đáng, thích hợp
2241  | properly       | một cách đúng đắn, một cách thích đáng
2242  | property       | tài sản, của cải; đất đấi, nhà cửa, bất động sản
2243  | proportion     | sự cân xứng, sự cân đối
2244  | proposal       | sự đề nghị, đề xuất
2245  | propose        | đề nghị, đề xuat, đưa ra
2246  | prospect       | viễn cảnh, toàn cảnh; triển vọng, mong chờ
2247  | protect        | bảo vệ, che chở
2248  | protection     | sự bảo vệ, sự che chở
2249  | protest        | sựphảnđối, sựphảnkháng;phảnđối,phảnkháng
2250  | proud          | tự hào, kiêu hãnh
2251  | proudly        | một cách tự hào, một cách hãnh diện
2252  | prove          | chứng tỏ, chứng minh
2253  | provide        | chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
2254  | public         | chung,côngcộng;côngchúng, nhândân.inpublicgiữacôngchúng,công khai
2255  | publication    | sự công bố; sự xuất bản
2256  | publicity      | sựcôngkhai, sựquảngcáo
2257  | publicly       | công khai, công cộng
2258  | publish        | công bố, ban bố; xuất bản
2259  | publishing     | công việc, nghề xuất bản
2260  | pull           | lôi, kéo, giật; sự lôi kéo, sự giật
2261  | punch          | đấm, thụi; quả đấm, cú thụi
2262  | punish         | phạt, trưng phạt
2263  | punishment     | sự trưng phạt, sự trưng trị
2264  | pupil          | học sinh       
2265  | purchase       | sự mua, sự tậu; mua, sắm, tậu
2266  | pure           | nguyên chất, tinh khiết, trong lành
2267  | purely         | hoàntoàn,chỉlà 
2268  | purple         | tía, có màu tía; màu tía
2269  | purpose        | mục đích, ý định. on purpose cố tình, cố ý, có chủ tâm
2270  | pursue         | đuổi theo, đuổi bắt
2271  | push           | xô đẩy; sự xô đẩy
2272  | put            | đặt, để, cho vào
2273  | qualification  | phẩm chất, năng lực; khả năng chuyên môn
2274  | qualified      | đủ tư cách, điều kiện, khả năng
2275  | qualify        | đủ khả năng, đủ tư cách, điều kiệ
